Episode,RandomAgent,SmartAgent,QLearningAgent
1,24,25,20
2,21,10,17
3,25,19,21
4,23,21,24
5,14,13,21
6,20,19,25
7,25,13,23
8,21,18,20
9,14,18,24
10,17,14,13
11,24,7,20
12,17,14,23
13,23,12,18
14,21,24,25
15,18,22,21
16,24,15,23
17,23,15,21
18,24,17,20
19,25,10,25
20,16,10,23
21,20,7,23
22,22,9,21
23,25,13,16
24,22,21,25
25,16,20,25
26,20,15,20
27,23,17,25
28,25,16,25
29,19,14,14
30,17,20,21
31,18,16,18
32,24,16,21
33,17,10,21
34,16,19,25
35,25,14,25
36,25,14,25
37,23,21,7
38,19,18,19
39,24,15,23
40,22,22,19
41,25,20,25
42,23,21,18
43,20,12,18
44,24,18,22
45,21,11,24
46,25,20,17
47,23,15,21
48,25,22,24
49,15,12,20
50,22,15,23
51,21,12,23
52,21,20,24
53,23,16,21
54,20,16,18
55,20,16,20
56,24,19,21
57,17,16,13
58,25,13,25
59,14,12,25
60,25,23,22
61,24,13,20
62,20,14,19
63,20,16,24
64,18,12,18
65,25,11,24
66,19,6,25
67,23,17,25
68,17,23,23
69,17,14,20
70,25,12,24
71,21,14,23
72,22,16,15
73,18,13,25
74,25,14,25
75,24,13,24
76,23,23,22
77,22,15,23
78,23,9,23
79,25,19,21
80,22,22,23
81,23,15,25
82,15,9,25
83,25,14,24
84,24,10,18
85,23,22,25
86,23,24,19
87,23,7,24
88,22,9,24
89,19,7,24
90,24,13,19
91,23,21,19
92,23,13,22
93,22,10,22
94,22,19,24
95,23,16,25
96,24,20,22
97,23,10,23
98,21,13,19
99,23,21,23
100,17,12,20
