episode,shots,reward,moving_avg_shots,moving_avg_rewards
1,37,15.800000000000006,37.0,15.800000000000006
2,12,21.300000000000004,24.5,18.550000000000004
3,21,20.400000000000006,23.333333333333332,19.16666666666667
4,21,17.400000000000006,22.75,18.725000000000005
5,21,14.400000000000004,22.4,17.860000000000007
6,20,17.500000000000004,22.0,17.800000000000004
7,12,15.3,20.571428571428573,17.442857142857147
8,28,16.700000000000003,21.5,17.35
9,26,16.900000000000006,22.0,17.3
10,34,19.10000000000001,23.2,17.48
11,22,14.3,23.09090909090909,17.19090909090909
12,16,17.900000000000006,22.5,17.250000000000004
13,14,15.100000000000001,21.846153846153847,17.084615384615386
14,19,17.6,21.642857142857142,17.121428571428574
15,22,20.300000000000004,21.666666666666668,17.333333333333332
16,40,15.500000000000009,22.8125,17.218750000000004
17,19,20.6,22.58823529411765,17.417647058823533
18,45,15.000000000000012,23.833333333333332,17.28333333333334
19,30,19.500000000000007,24.157894736842106,17.400000000000006
20,44,18.10000000000001,25.15,17.435000000000006
21,12,21.299999999999997,24.523809523809526,17.619047619047624
22,25,14.000000000000004,24.545454545454547,17.45454545454546
23,15,18.0,24.130434782608695,17.478260869565222
24,29,19.60000000000001,24.333333333333332,17.566666666666674
25,36,15.900000000000011,24.8,17.500000000000007
26,20,14.500000000000002,24.615384615384617,17.38461538461539
27,28,19.70000000000001,24.74074074074074,17.470370370370375
28,31,16.400000000000006,24.964285714285715,17.43214285714286
29,16,14.900000000000004,24.655172413793103,17.3448275862069
30,26,13.900000000000007,24.7,17.230000000000004
31,19,14.600000000000001,24.516129032258064,17.145161290322584
32,20,14.500000000000004,24.375,17.062500000000004
33,15,18.0,24.09090909090909,17.090909090909093
34,25,20.000000000000007,24.11764705882353,17.176470588235297
35,17,14.800000000000002,23.914285714285715,17.10857142857143
36,23,17.200000000000006,23.88888888888889,17.111111111111114
37,40,15.50000000000001,24.324324324324323,17.067567567567572
38,29,19.60000000000001,24.44736842105263,17.134210526315794
39,29,16.600000000000005,24.564102564102566,17.120512820512825
40,32,16.300000000000008,24.75,17.100000000000005
41,42,18.30000000000001,25.170731707317074,17.12926829268293
42,19,20.6,25.023809523809526,17.211904761904766
43,15,15.000000000000002,24.790697674418606,17.160465116279074
44,23,20.200000000000006,24.75,17.22954545454546
45,16,17.900000000000002,24.555555555555557,17.24444444444445
46,38,15.70000000000001,24.847826086956523,17.210869565217397
47,26,13.900000000000006,24.872340425531913,17.1404255319149
48,31,16.400000000000006,25.0,17.125000000000004
49,17,17.800000000000004,24.836734693877553,17.138775510204084
50,33,19.20000000000001,25.0,17.180000000000003
51,25,14.000000000000004,25.0,17.117647058823533
52,14,18.1,24.78846153846154,17.136538461538468
53,31,19.400000000000006,24.90566037735849,17.179245283018872
54,17,14.8,24.75925925925926,17.13518518518519
55,27,19.800000000000004,24.8,17.183636363636367
56,14,15.100000000000001,24.607142857142858,17.146428571428576
57,28,13.700000000000005,24.666666666666668,17.08596491228071
58,34,19.10000000000001,24.82758620689655,17.12068965517242
59,17,14.800000000000002,24.694915254237287,17.081355932203394
60,22,17.3,24.65,17.085000000000004
61,36,15.900000000000006,24.83606557377049,17.06557377049181
62,13,18.2,24.64516129032258,17.083870967741944
63,30,16.5,24.73015873015873,17.074603174603183
64,22,17.300000000000004,24.6875,17.078125000000007
65,36,15.900000000000007,24.861538461538462,17.06000000000001
66,32,16.300000000000004,24.96969696969697,17.048484848484858
67,17,20.8,24.850746268656717,17.104477611940304
68,18,14.700000000000003,24.75,17.06911764705883
69,15,15.000000000000002,24.608695652173914,17.039130434782617
70,21,17.4,24.557142857142857,17.044285714285724
71,17,17.8,24.450704225352112,17.054929577464797
72,18,14.700000000000001,24.36111111111111,17.022222222222226
73,19,17.6,24.28767123287671,17.030136986301372
74,29,13.600000000000005,24.35135135135135,16.983783783783785
