episode,shots,reward,mode_switches,moving_avg_shots,moving_avg_rewards
1,100,32.89999999999992,2,100.0,32.89999999999992
2,87,31.199999999999953,5,93.5,32.04999999999994
3,57,37.19999999999996,6,81.33333333333333,33.766666666666616
4,68,30.1,4,78.0,32.84999999999996
5,46,35.299999999999955,2,71.6,33.33999999999996
6,35,36.4,2,65.5,33.849999999999966
7,36,33.29999999999999,2,61.285714285714285,33.77142857142854
8,71,35.79999999999997,5,62.5,34.02499999999997
9,57,34.19999999999997,2,61.888888888888886,34.044444444444416
10,99,30.0,2,65.6,33.63999999999997
11,84,31.49999999999997,2,67.27272727272727,33.445454545454524
12,116,25.30000000000001,4,71.33333333333333,32.766666666666644
13,83,28.599999999999955,2,72.23076923076923,32.44615384615383
14,61,30.79999999999999,2,71.42857142857143,32.32857142857141
15,73,29.59999999999996,2,71.53333333333333,32.14666666666665
16,68,36.099999999999966,4,71.3125,32.393749999999976
17,89,33.99999999999992,4,72.3529411764706,32.488235294117615
18,89,28.000000000000014,3,73.27777777777777,32.23888888888886
19,117,25.199999999999875,2,75.57894736842105,31.868421052631543
20,84,28.500000000000007,2,76.0,31.699999999999967
21,55,31.39999999999999,3,75.0,31.68571428571425
22,64,30.499999999999943,4,74.5,31.631818181818144
23,69,35.99999999999996,4,74.26086956521739,31.821739130434747
24,81,28.80000000000001,2,74.54166666666667,31.6958333333333
25,43,32.59999999999997,4,73.28,31.73199999999997
26,71,35.799999999999955,2,73.1923076923077,31.88846153846151
27,99,32.99999999999998,4,74.14814814814815,31.929629629629602
28,97,33.19999999999998,4,74.96428571428571,31.97499999999997
29,57,31.20000000000001,4,74.34482758620689,31.94827586206894
30,86,34.3,6,74.73333333333333,32.026666666666635
31,64,33.49999999999994,2,74.38709677419355,32.074193548387065
32,88,28.09999999999996,4,74.8125,31.94999999999997
33,69,35.99999999999996,4,74.63636363636364,32.07272727272724
34,66,33.29999999999995,2,74.38235294117646,32.10882352941173
35,61,36.79999999999996,2,74.0,32.24285714285711
36,118,25.1,2,75.22222222222223,32.04444444444441
37,85,28.400000000000013,4,75.48648648648648,31.945945945945915
38,63,27.599999999999973,4,75.15789473684211,31.83157894736839
39,26,34.29999999999998,2,73.8974358974359,31.89487179487176
40,68,33.099999999999945,2,73.75,31.924999999999965
41,67,30.2,5,73.58536585365853,31.88292682926826
42,86,31.299999999999997,2,73.88095238095238,31.869047619047585
43,75,35.39999999999996,2,73.90697674418605,31.95116279069764
44,81,28.80000000000001,3,74.06818181818181,31.87954545454542
45,101,32.799999999999955,2,74.66666666666667,31.899999999999963
46,56,37.29999999999998,4,74.26086956521739,32.01739130434779
47,67,30.20000000000001,2,74.1063829787234,31.978723404255284
48,33,39.59999999999998,2,73.25,32.137499999999974
49,44,35.49999999999998,4,72.65306122448979,32.20612244897956
50,54,37.49999999999998,6,72.28,32.311999999999976
51,65,30.399999999999963,3,72.13725490196079,32.27450980392154
52,81,28.799999999999912,3,72.3076923076923,32.207692307692284
53,90,33.89999999999994,4,72.64150943396227,32.239622641509406
54,128,27.099999999999913,2,73.66666666666667,32.14444444444442
55,68,30.099999999999998,2,73.56363636363636,32.107272727272694
56,103,29.5999999999999,4,74.08928571428571,32.062499999999964
57,92,24.69999999999996,4,74.40350877192982,31.9333333333333
58,59,31.000000000000004,3,74.13793103448276,31.917241379310315
59,87,31.199999999999953,2,74.35593220338983,31.905084745762682
60,62,30.69999999999996,2,74.15,31.884999999999973
61,60,33.89999999999998,4,73.91803278688525,31.918032786885217
62,65,30.399999999999988,2,73.7741935483871,31.893548387096747
63,35,33.4,4,73.15873015873017,31.917460317460293
64,73,32.599999999999945,4,73.15625,31.92812499999997
65,49,34.99999999999997,6,72.78461538461538,31.97538461538458
66,59,30.999999999999964,2,72.57575757575758,31.96060606060603
67,119,24.99999999999998,2,73.26865671641791,31.856716417910416
68,46,32.30000000000001,4,72.86764705882354,31.86323529411762
69,98,30.099999999999966,2,73.23188405797102,31.83768115942026
70,66,30.3,2,73.12857142857143,31.815714285714257
71,59,33.99999999999997,5,72.92957746478874,31.84647887323941
72,108,26.09999999999998,3,73.41666666666667,31.766666666666637
73,97,27.19999999999997,5,73.73972602739725,31.704109589041067
74,88,31.1,2,73.93243243243244,31.695945945945915
75,39,38.99999999999996,6,73.46666666666667,31.793333333333305
76,94,30.499999999999964,2,73.73684210526316,31.776315789473653
77,105,29.39999999999994,2,74.14285714285714,31.745454545454518
78,86,34.29999999999994,4,74.2948717948718,31.778205128205098
79,89,28.0,2,74.48101265822785,31.73037974683541
80,79,28.999999999999982,4,74.5375,31.69624999999997
81,68,36.099999999999966,2,74.45679012345678,31.750617283950586
82,57,37.199999999999946,3,74.2439024390244,31.817073170731675
83,76,29.299999999999976,6,74.26506024096386,31.786746987951776
84,83,31.59999999999996,2,74.36904761904762,31.78452380952378
85,107,29.19999999999999,4,74.75294117647059,31.75411764705879
86,71,29.79999999999996,4,74.70930232558139,31.73139534883718
87,123,24.599999999999998,2,75.26436781609195,31.64942528735629
88,79,34.99999999999993,4,75.30681818181819,31.687499999999968
89,81,22.79999999999997,3,75.37078651685393,31.587640449438172
90,81,31.80000000000001,3,75.43333333333334,31.589999999999975
91,80,34.89999999999995,4,75.48351648351648,31.626373626373603
92,51,37.79999999999996,2,75.21739130434783,31.693478260869544
93,79,28.999999999999993,4,75.25806451612904,31.664516129032236
94,94,27.499999999999936,4,75.45744680851064,31.620212765957426
95,49,32.0,4,75.17894736842105,31.624210526315768
96,83,31.599999999999973,2,75.26041666666667,31.623958333333302
97,78,32.099999999999966,5,75.28865979381443,31.62886597938141
98,91,30.79999999999999,6,75.44897959183673,31.620408163265274
99,58,37.09999999999999,4,75.27272727272727,31.675757575757544
100,59,30.999999999999986,4,75.11,31.66899999999997
101,102,29.699999999999914,4,75.13,31.636999999999972
102,57,28.19999999999996,4,74.83,31.606999999999967
103,78,35.09999999999995,4,75.04,31.585999999999967
104,70,29.899999999999938,4,75.06,31.583999999999968
105,97,33.199999999999996,4,75.57,31.56299999999997
106,106,26.300000000000022,4,76.28,31.46199999999997
107,91,33.79999999999998,4,76.83,31.466999999999974
108,34,39.499999999999986,5,76.46,31.503999999999973
109,60,36.899999999999935,2,76.49,31.53099999999998
110,52,31.699999999999967,2,76.02,31.547999999999973
111,37,36.19999999999998,2,75.55,31.594999999999974
112,61,30.799999999999955,2,75.0,31.649999999999974
113,91,33.799999999999926,4,75.08,31.701999999999966
114,46,35.3,3,74.93,31.746999999999968
115,83,31.599999999999923,3,75.03,31.76699999999997
116,74,32.500000000000014,5,75.09,31.730999999999973
117,88,28.099999999999916,5,75.08,31.671999999999972
118,80,28.900000000000002,4,74.99,31.680999999999973
119,73,32.59999999999995,2,74.55,31.754999999999967
120,80,28.89999999999996,3,74.51,31.758999999999972
121,55,34.39999999999996,4,74.51,31.788999999999973
122,90,24.900000000000027,2,74.77,31.732999999999976
123,102,29.700000000000003,4,75.1,31.669999999999973
124,63,33.59999999999998,2,74.92,31.71799999999997
125,53,31.599999999999987,5,75.02,31.70799999999997
126,25,34.39999999999999,2,74.56,31.69399999999997
127,59,33.999999999999986,2,74.16,31.703999999999972
128,92,27.699999999999996,4,74.11,31.64899999999997
129,125,24.399999999999928,3,74.79,31.58099999999997
130,95,21.39999999999998,2,74.88,31.45199999999997
131,52,34.69999999999998,6,74.76,31.46399999999997
132,36,36.3,3,74.24,31.545999999999978
133,58,31.1,4,74.13,31.49699999999997
134,110,31.89999999999999,2,74.57,31.482999999999976
135,85,28.399999999999963,2,74.81,31.39899999999998
136,60,33.9,3,74.23,31.486999999999977
137,46,32.29999999999996,4,73.84,31.525999999999982
138,54,34.49999999999998,2,73.75,31.594999999999978
139,63,24.599999999999973,3,74.12,31.497999999999976
140,71,29.799999999999976,4,74.15,31.46499999999998
141,60,30.89999999999998,2,74.08,31.471999999999976
142,52,37.69999999999998,4,73.74,31.535999999999976
143,41,38.8,4,73.4,31.56999999999998
144,74,35.499999999999986,2,73.33,31.636999999999976
145,63,27.599999999999955,3,72.95,31.584999999999972
146,76,26.299999999999933,2,73.15,31.474999999999973
147,110,25.900000000000016,2,73.58,31.431999999999967
148,78,29.09999999999998,5,74.03,31.32699999999997
149,66,33.29999999999996,2,74.25,31.30499999999997
150,51,25.799999999999986,3,74.22,31.187999999999974
151,70,29.899999999999977,2,74.27,31.182999999999975
152,63,30.599999999999994,2,74.09,31.200999999999976
153,35,39.39999999999998,4,73.54,31.255999999999975
154,111,25.799999999999997,4,73.37,31.242999999999974
155,56,31.29999999999995,2,73.25,31.254999999999974
156,44,35.49999999999996,4,72.66,31.31399999999998
157,68,30.09999999999998,2,72.42,31.367999999999974
158,107,26.19999999999999,2,72.9,31.31999999999997
159,72,29.699999999999996,4,72.75,31.304999999999968
160,77,35.19999999999999,2,72.9,31.34999999999997
161,83,34.59999999999994,2,73.13,31.356999999999967
162,25,34.39999999999999,4,72.73,31.39699999999997
163,68,33.099999999999945,4,73.06,31.393999999999973
164,78,26.09999999999995,2,73.11,31.328999999999972
165,58,25.10000000000001,4,73.2,31.229999999999972
166,86,34.29999999999991,4,73.47,31.26299999999997
167,86,28.299999999999976,4,73.14,31.29599999999997
168,114,31.499999999999986,2,73.82,31.287999999999975
169,55,37.4,6,73.39,31.360999999999976
