episode,shots
1,23
2,24
3,24
4,19
5,23
6,22
7,15
8,24
9,24
10,21
11,22
12,21
13,25
14,18
15,25
16,24
17,21
18,24
19,12
20,25
21,23
22,18
23,22
24,23
25,23
26,20
27,19
28,23
29,24
30,25
31,16
32,20
33,24
34,19
35,23
36,22
37,23
38,22
39,16
40,19
41,24
42,22
43,22
44,23
45,25
46,21
47,16
48,24
49,24
50,21
51,24
52,22
53,19
54,25
55,20
56,20
57,23
58,24
59,24
60,25
61,25
62,23
63,25
64,24
65,22
66,19
67,24
68,25
69,21
70,20
71,14
72,22
73,23
74,20
75,25
76,18
77,22
78,25
79,24
80,15
81,15
82,18
83,25
84,24
85,23
86,24
87,8
88,21
89,22
90,23
91,15
92,21
93,19
94,23
95,24
96,17
97,22
98,15
99,25
100,22
