episode,shots
1,18
2,16
3,17
4,18
5,11
6,10
7,24
8,14
9,12
10,9
11,11
12,22
13,12
14,19
15,25
16,14
17,21
18,20
19,17
20,13
21,10
22,11
23,11
24,13
25,17
26,7
27,14
28,13
29,20
30,15
31,17
32,12
33,11
34,16
35,14
36,22
37,12
38,13
39,13
40,14
41,15
42,23
43,14
44,15
45,25
46,13
47,18
48,22
49,13
50,19
51,19
52,9
53,21
54,14
55,19
56,14
57,22
58,17
59,18
60,20
61,9
62,11
63,12
64,14
65,24
66,15
67,22
68,9
69,21
70,17
71,15
72,13
73,19
74,11
75,13
76,11
77,11
78,9
79,7
80,15
81,22
82,21
83,15
84,17
85,14
86,17
87,13
88,10
89,9
90,23
91,15
92,19
93,23
94,18
95,12
96,16
97,16
98,19
99,18
100,8
